X.1,Provinsi,Kabupaten/Kota,X.2,IKK,OTG Total,ODP Total,ODP Proses,PDP Total,PDP Proses,PDP MD,SUS T,SUS S,SUS MD,PROB T,PROB S,PROB MD,POS T,POS P,POS S,POS MD,POS IM,Tanggal Update,X.3,Luas Wilayah,Jumlah Penduduk,Penduduk/sq.km,Resolved,RI,"CFR (inc ODP, PDP,SUS,PROB)",Kematian Total per 100.000 Penduduk,Rasio Lacak Isolasi (RLI),Kasus Total per 100rb penduduk,Kasus selesai per 100rb penduduk,Kasus total (inc PDP) per 100rb penduduk,Kasus selesai (inc PDP) per 100rb penduduk,Total,Resolved1,Trace,X.4,IKK1,IKK2,IKK3,Kasus Aktif per 100.000 penduduk,X.5,X.6
5312,Nusa Tenggara Timur,Ngada,NGADA,3.46,null,null,null,null,null,null,75,58,0,2,1,1,1712,333,1357,22,null,Tanggal,9/18/2021,1646,154526,94,80.61,79.26,1.34,14.88,0.04,1107.9,892.41,1109.2,893.7,38.58,21.14,0.09,0.16,0.64,2.82,3.46,215.5,null,null
5314,Nusa Tenggara Timur,Rote Ndao,ROTE NDAO,4.15,null,null,null,null,null,null,56,56,0,0,0,0,1683,274,1382,27,null,Tanggal,9/18/2021,1280,147379,115,83.72,82.12,1.6,18.32,0.03,1141.95,956.04,1141.95,956.04,42.8,21.86,0.11,0.18,0.38,3.78,4.15,185.92,null,null
5320,Nusa Tenggara Timur,Sabu Raijua,SABU RAIJUA,4.45,null,null,null,null,null,null,96,25,2,0,0,0,1124,89,1016,19,null,Tanggal,9/18/2021,461,85716,186,92.08,90.39,1.69,24.5,0.09,1311.31,1207.48,1311.31,1207.48,47.08,24.57,0.16,0.27,2.06,2.38,4.45,103.83,null,null
5310,Nusa Tenggara Timur,Sikka,SIKKA,1.43,null,null,null,null,null,null,362,355,0,7,0,7,3713,354,3337,22,null,Tanggal,9/18/2021,1732,313265,181,90.65,89.87,0.78,9.26,0.1,1185.26,1072.26,1187.49,1074.49,30.43,23.18,0.05,0.09,0.02,1.41,1.43,113,null,null
5301,Nusa Tenggara Timur,Sumba Barat,SUMBA BARAT,6.65,null,null,null,null,null,null,32,32,0,14,9,5,644,22,597,25,null,Tanggal,9/18/2021,710,121743,171,97.26,92.7,4.56,24.64,0.07,528.98,510.91,540.48,522.41,49.64,16.16,0.14,0.22,-0.12,6.78,6.65,18.07,null,null
5317,Nusa Tenggara Timur,Sumba Barat Daya,SUMBA BARAT DAYA,4.61,null,null,null,null,null,null,570,553,1,49,44,5,1191,64,1089,38,null,Tanggal,9/18/2021,1480,318627,215,94.9,91.44,3.47,13.81,0.52,373.79,353.71,389.17,369.08,36.74,13.58,0.06,0.1,1.19,3.42,4.61,20.09,null,null
5316,Nusa Tenggara Timur,Sumba Tengah,SUMBA TENGAH,5.92,null,null,null,null,null,null,107,107,0,2,1,1,1401,515,866,20,null,Tanggal,9/18/2021,1869,68297,37,63.31,61.81,1.5,30.75,0.08,2051.33,1297.28,2054.26,1300.2,55.45,25.5,0.2,0.34,1.85,4.08,5.92,754.06,null,null
5302,Nusa Tenggara Timur,Sumba Timur,SUMBA TIMUR,7.27,null,null,null,null,null,null,277,276,1,0,0,0,5217,878,4231,108,null,Tanggal,9/18/2021,7001,245916,35,83.17,81.1,2.07,44.32,0.05,2121.46,1764.42,2121.46,1764.42,66.27,29.7,0.13,0.21,1.57,5.71,7.27,357.03,null,null
5304,Nusa Tenggara Timur,Timor Tengah Selatan,TIMOR TENGAH SELATAN,2.27,null,null,null,null,null,null,371,368,2,9,4,5,1595,91,1482,22,null,Tanggal,9/18/2021,3947,459101,116,94.6,92.92,1.68,6.32,0.24,347.42,327.6,349.38,329.56,24.25,12.84,0.04,0.06,-0.15,2.42,2.27,19.82,null,null
5305,Nusa Tenggara Timur,Timor Tengah Utara,TIMOR TENGAH UTARA,3.02,null,null,null,null,null,null,79,76,2,0,0,0,200,22,167,11,null,Tanggal,9/18/2021,2670,244498,92,89,83.5,5.5,5.32,0.4,81.8,72.8,81.8,72.8,21.21,6.03,0.04,0.07,1.05,1.97,3.02,9,null,null
9415,Papua,Asmat,Kab. Asmat,2.81,null,null,0,null,0,null,null,null,null,null,null,null,1059,33,1013,13,null,Tanggal,9/2/2021,31984,88373,3,96.88,95.66,1.23,14.71,0,1198.33,1160.99,1198.33,1160.99,38.35,24.09,0.12,0.2,1.35,1.46,2.81,37.34,0,null
