X.1,Provinsi,Kabupaten/Kota,X.2,IKK,OTG Total,ODP Total,ODP Proses,PDP Total,PDP Proses,PDP MD,SUS T,SUS S,SUS MD,PROB T,PROB S,PROB MD,POS T,POS P,POS S,POS MD,POS IM,Tanggal Update,X.3,Luas Wilayah,Jumlah Penduduk,Penduduk/sq.km,Resolved,RI,"CFR (inc ODP, PDP,SUS,PROB)",Kematian Total per 100.000 Penduduk,Rasio Lacak Isolasi (RLI),Kasus Total per 100rb penduduk,Kasus selesai per 100rb penduduk,Kasus total (inc PDP) per 100rb penduduk,Kasus selesai (inc PDP) per 100rb penduduk,Total,Resolved1,Trace,X.4,IKK1,IKK2,IKK3,Kasus Aktif per 100.000 penduduk,X.5,X.6
9410,Papua,Paniai,Kab. Paniai,1.95,null,null,6,null,0,null,null,null,null,null,null,null,400,15,378,7,null,Tanggal,9/2/2021,6525,164008,25,96.25,94.5,1.75,4.27,0,243.89,234.74,243.89,234.74,20.66,10.83,0.05,0.08,-0.22,2.17,1.95,9.15,0,null
9417,Papua,Pegunungan Bintang,Kab. Pegunungan Bintang,2.04,null,null,0,null,0,null,null,null,null,null,null,null,92,33,57,2,null,Tanggal,9/2/2021,15682,71608,5,64.13,61.96,2.17,2.79,0,128.48,82.39,128.48,82.39,16.71,6.42,0.06,0.1,2.04,0,2.04,46.08,0,null
9433,Papua,Puncak,Kab. Puncak,2.09,null,null,0,null,0,null,null,null,null,null,null,null,101,14,84,3,null,Tanggal,9/2/2021,8055,103342,13,86.14,83.17,2.97,2.9,0,97.73,84.19,97.73,84.19,17.04,6.49,0.05,0.08,2.09,0,2.09,13.55,0,null
9411,Papua,Puncak Jaya,Kab. Puncak Jaya,1.9,null,null,611,null,0,null,null,null,null,null,null,null,252,63,185,4,null,Tanggal,9/2/2021,4990,114978,23,75,73.41,1.59,3.48,0,219.17,164.38,219.17,164.38,18.65,9.07,0.05,0.09,1.9,0,1.9,54.79,0,null
9419,Papua,Sarmi,Kab. Sarmi,0,null,null,0,null,0,null,null,null,null,null,null,null,31,0,31,0,null,Tanggal,9/2/2021,17742,36714,2,100,100,0,0,0,84.44,84.44,84.44,84.44,0,6.5,0,0,0,0,0,0,0,null
9427,Papua,Supiori,Kab. Supiori,0,null,null,265,null,26,null,null,null,null,null,null,null,252,5,247,0,null,Tanggal,9/2/2021,678,18222,27,98.02,98.02,0,0,0,1382.94,1355.5,1382.94,1498.19,0,27.37,0,0,0,0,0,27.44,0,null
9418,Papua,Tolikara,Kab. Tolikara,0,null,null,78,null,237,null,null,null,null,null,null,null,270,13,257,0,null,Tanggal,9/2/2021,5588,130862,23,95.19,95.19,0,0,0,206.32,196.39,206.32,377.5,0,13.74,0,0,0,0,0,9.93,0,null
9426,Papua,Waropen,Kab. Waropen,0,null,null,0,null,0,null,null,null,null,null,null,null,1,0,1,0,null,Tanggal,9/2/2021,10977,28444,3,100,100,0,0,0,3.52,3.52,3.52,3.52,0,1.33,0,0,0,0,0,0,0,null
9416,Papua,Yahukimo,Kab. Yahukimo,2.17,null,null,0,null,0,null,null,null,null,null,null,null,23,9,11,3,null,Tanggal,9/2/2021,17152,181139,11,60.87,47.83,13.04,1.66,0,12.7,7.73,12.7,7.73,12.87,1.97,0.03,0.05,2.17,0,2.17,4.97,0,null
9432,Papua,Yalimo,Kab. Yalimo,0,null,null,0,null,0,null,null,null,null,null,null,null,15,0,15,0,null,Tanggal,9/2/2021,1253,58700,47,100,100,0,0,0,25.55,25.55,25.55,25.55,0,3.57,0,0,0,0,0,0,0,null
9101,Papua Barat,Fakfak,Kabupaten Fakfak,7.8,null,null,null,null,null,null,null,null,3,null,null,null,1564,5,1521,38,null,Tanggal,9/18/2021,11036,73180,7,99.68,97.25,2.43,56.03,0,2137.2,2130.36,2137.2,2130.36,72.06,32.64,0.26,0.44,-0.75,8.55,7.8,6.83,0,null
9102,Papua Barat,Kaimana,Kabupaten Kaimana,5.26,null,null,null,null,null,null,null,null,0,null,null,null,646,7,625,14,null,Tanggal,9/18/2021,16242,53848,3,98.92,96.75,2.17,26,0,1199.67,1186.67,1199.67,1186.67,50.99,24.36,0.21,0.35,0.21,5.04,5.26,13,0,null
9112,Papua Barat,Manokwari,Kab. Peg. Arfak,0,null,null,null,null,null,null,null,null,0,null,null,null,3,0,3,0,null,Tanggal,9/18/2021,2774,28218,10,100,100,0,0,0,10.63,10.63,10.63,10.63,0,2.31,0,0,0,0,0,0,0,null
9105,Papua Barat,Manokwari City,Kabupaten Manokwari,4.81,null,null,null,null,null,null,null,null,1,null,null,null,8685,2664,5948,73,null,Tanggal,9/18/2021,11675,157940,14,69.33,68.49,0.84,46.85,0,5498.92,3812.21,5498.92,3812.21,67.99,43.66,0.16,0.27,0.58,4.23,4.81,1686.72,0,null
9111,Papua Barat,Manokwari Selatan,Kabupaten Manokwari Selatan,5.14,null,null,null,null,null,null,null,null,1,null,null,null,302,3,293,6,null,Tanggal,9/18/2021,2812,21776,8,99.01,97.02,1.99,32.15,0,1386.85,1373.07,1386.85,1373.07,52.49,26.2,0.36,0.61,-0.05,5.19,5.14,13.78,0,null
9110,Papua Barat,Maybrat,Kabupaten Maybrat,6.35,null,null,null,null,null,null,null,null,1,null,null,null,15,0,10,5,null,Tanggal,9/18/2021,5462,37392,7,100,66.67,33.33,16.05,0,40.12,40.12,40.12,40.12,36.57,4.48,0.2,0.33,0.7,5.65,6.35,0,0,null
9108,Papua Barat,Raja Ampat,Kabupaten Raja Ampat,0.14,null,null,null,null,null,null,null,null,1,null,null,null,942,0,937,5,null,Tanggal,9/18/2021,8034,45758,6,100,99.47,0.53,13.11,0,2058.66,2058.66,2058.66,2058.66,33.06,32.08,0.16,0.27,0.14,0,0.14,0,0,null
9107,Papua Barat,Sorong,Kabupaten Sorong,7.38,null,null,null,null,null,null,null,null,1,null,null,null,1249,13,1202,34,null,Tanggal,9/18/2021,7415,80479,11,98.96,96.24,2.72,43.49,0,1551.96,1535.8,1551.96,1535.8,65,27.71,0.22,0.37,1.2,6.19,7.38,16.15,0,null
9171,Papua Barat,Sorong City,Kota Sorong,3.94,null,null,null,null,null,null,null,null,16,null,null,null,6068,-2626,8602,92,null,Tanggal,9/18/2021,657,225922,344,143.28,141.76,1.52,47.8,0,2685.88,3848.23,2685.88,3848.23,63.81,43.86,0.14,0.23,-1.43,5.37,3.94,-1162.35,0,null
9106,Papua Barat,Sorong Selatan,Kabupaten Sorong Selatan,11.09,null,null,null,null,null,null,null,null,0,null,null,null,421,13,382,26,null,Tanggal,9/18/2021,3947,42922,11,96.91,90.74,6.18,60.57,0,980.85,950.56,980.85,950.56,77.83,21.8,0.36,0.59,1.08,10.01,11.09,30.29,0,null
9109,Papua Barat,Tambrauw,Kabupaten Tambrauw,6.1,null,null,null,null,null,null,null,null,0,null,null,null,72,3,66,3,null,Tanggal,9/18/2021,5180,13515,3,95.83,91.67,4.17,22.2,0,532.74,510.54,532.74,510.54,47.11,15.98,0.38,0.64,-1.39,7.49,6.1,22.2,0,null
9104,Papua Barat,Teluk Bintuni,Kabupaten Teluk Bintuni,7.17,null,null,null,null,null,null,null,null,6,null,null,null,1863,21,1808,34,null,Tanggal,9/18/2021,20841,58987,3,98.87,97.05,1.83,67.81,0,3158.32,3122.72,3158.32,3122.72,75.92,39.51,0.32,0.54,1.64,5.54,7.17,35.6,0,null
9103,Papua Barat,Teluk Wondama,Kabupaten Teluk Wondama,8.38,null,null,null,null,null,null,null,null,0,null,null,null,939,15,904,20,null,Tanggal,9/18/2021,3960,29682,7,98.4,96.27,2.13,67.38,0,3163.53,3113,3163.53,3113,82.09,39.45,0.45,0.75,0.5,7.87,8.38,50.54,0,null
1408,Riau,Bengkalis,Bengkalis,11.66,null,7766,73,181,3,18,null,null,null,null,null,null,8775,17,8244,393,121,Tanggal,9/18/2021,6976,543280,78,98.54,93.95,4.59,75.65,0.91,1615.19,1589.79,1648.51,1622.55,86.98,28.48,0.11,0.19,2.78,8.88,11.66,25.4,121,null
1473,Riau,Dumai,Dumai,10.01,null,4150,341,135,0,6,null,null,null,null,null,null,10191,16,9862,239,74,Tanggal,9/18/2021,1623,285448,176,99.14,96.77,2.37,85.83,0.42,3570.18,3538.65,3617.47,3585.94,92.64,42.34,0.17,0.27,2.49,7.51,10.01,31.53,null,null
1403,Riau,Indragiri Hilir,Indragiri Hilir,6.41,null,13718,415,257,8,7,null,null,null,null,null,null,5468,10,5172,184,102,Tanggal,9/18/2021,12615,702863,56,97.92,94.59,3.34,27.17,2.56,777.96,762.03,814.53,797.45,52.13,19.97,0.06,0.1,1.69,4.72,6.41,15.93,null,null
1402,Riau,Indragiri Hulu,Indragiri Hulu,8.25,null,465,1,35,0,1,null,null,null,null,null,null,6190,7,5944,193,46,Tanggal,9/18/2021,7724,408704,53,99.14,96.03,3.12,47.47,0.08,1514.54,1501.58,1523.11,1510.14,68.9,27.48,0.1,0.17,1.74,6.51,8.25,12.97,null,null
1406,Riau,Kampar,Kampar,9.73,null,6974,198,274,5,31,null,null,null,null,null,null,8521,36,8014,381,90,Tanggal,9/18/2021,10983,791348,72,98.73,94.05,4.68,52.06,0.85,1076.77,1060.85,1111.39,1094.84,72.15,23.4,0.08,0.13,1.67,8.06,9.73,15.92,null,null
1410,Riau,Kepulauan Meranti,Kepulauan Meranti,8.25,null,10333,772,21,1,1,null,null,null,null,null,null,1973,4,1875,75,19,Tanggal,9/18/2021,3708,180946,49,98.84,95.03,3.81,42,5.25,1090.38,1077.67,1101.99,1088.72,64.81,23.33,0.16,0.24,2.69,5.56,8.25,12.71,null,null
1401,Riau,Kuantan Singingi,Kuantan Singingi,8.82,null,8558,341,69,4,10,null,null,null,null,null,null,5544,2,5318,162,62,Tanggal,9/18/2021,5259,313976,60,98.99,95.92,3.06,54.78,1.56,1765.74,1745.36,1787.72,1766.06,74.01,29.72,0.13,0.21,1.89,6.93,8.82,20.38,null,null
1471,Riau,Pekanbaru,Pekanbaru,12.71,null,15309,1097,1195,145,94,null,null,null,null,null,null,51124,74,49301,1244,505,Tanggal,9/18/2021,632,1035834,1638,98.99,96.43,2.56,129.17,0.32,4935.54,4879.64,5050.91,4981.01,113.65,49.9,0.11,0.18,2.38,10.33,12.71,55.9,null,null
1404,Riau,Pelalawan,Pelalawan,9.68,null,3714,44,109,2,13,null,null,null,null,null,null,3392,8,3182,178,24,Tanggal,9/18/2021,12758,395250,31,99.26,93.81,5.46,48.32,1.13,858.19,850.09,885.77,877.17,69.52,20.94,0.11,0.17,1.7,7.98,9.68,8.1,null,null
1409,Riau,Rokan Hilir,Rokan Hilir,7.66,null,12196,808,79,6,8,null,null,null,null,null,null,5228,1,4969,213,45,Tanggal,9/18/2021,8852,643224,73,99.21,95.05,4.16,34.36,2.35,812.78,805.63,825.06,816.98,58.62,20.21,0.07,0.12,2.26,5.4,7.66,7.15,null,null
1407,Riau,Rokan Hulu,Rokan Hulu,11,null,8846,136,75,2,0,null,null,null,null,null,null,5270,9,4873,344,44,Tanggal,9/18/2021,7588,590272,78,98.9,92.47,6.44,58.28,1.69,892.81,883.83,905.51,896.2,76.34,21.17,0.1,0.16,3.13,7.87,11,8.98,null,null
1405,Riau,Siak,Siak,9.98,null,5551,367,78,1,9,null,null,null,null,null,null,9566,26,9144,294,102,Tanggal,9/18/2021,8275,439796,53,98.73,95.59,3.14,68.9,0.59,2175.1,2145.99,2192.83,2163.5,83,32.89,0.12,0.2,2.21,7.78,9.98,29.1,null,null
7601,Sulawesi Barat,Majene,Kabupaten Majene,6.39,null,212,2,16,0,2,null,null,null,null,null,null,1031,3,953,38,37,Tanggal,9/18/2021,948,161132,170,96.25,92.43,3.82,24.82,0.22,639.85,615.02,649.78,624.95,49.82,17.68,0.12,0.2,1.68,4.71,6.39,24.82,null,null
7603,Sulawesi Barat,Mamasa,Kabupaten Mamasa,1.77,null,429,41,1,0,0,null,null,null,null,null,null,1349,4,1241,13,91,Tanggal,9/18/2021,3006,149809,50,92.96,91.99,0.96,8.68,0.32,900.48,837.07,901.15,837.73,29.46,20.47,0.07,0.12,0.06,1.71,1.77,63.41,null,null
7604,Sulawesi Barat,Mamuju,Kabupaten Mamuju,3.89,null,89,0,22,2,3,null,null,null,null,null,null,3020,1,2895,46,78,Tanggal,9/18/2021,5000,258984,52,97.47,95.86,1.61,18.92,0.04,1166.1,1135.59,1174.59,1143.31,43.5,23.91,0.08,0.14,1.8,2.1,3.89,30.5,null,null
7606,Sulawesi Barat,Mamuju Tengah,Kabupaten Mamuju Tengah,8.54,null,407,41,21,0,2,null,null,null,null,null,null,1056,8,948,46,54,Tanggal,9/18/2021,3014,118188,39,94.23,89.77,4.46,40.61,0.41,893.49,841.03,911.26,858.8,63.73,20.72,0.18,0.29,4.11,4.43,8.54,52.46,null,null
7605,Sulawesi Barat,Mamuju Utara,Kabupaten Pasangkayu,5.38,null,351,8,13,1,1,null,null,null,null,null,null,1972,1,1911,41,19,Tanggal,9/18/2021,3044,152505,50,99.02,96.91,2.12,27.54,0.18,1293.07,1279.96,1301.6,1287.83,52.48,25.38,0.13,0.21,3.41,1.97,5.38,13.11,null,null
7602,Sulawesi Barat,Polewali Mandar,Kabupaten Powewali Mandar,7.64,null,490,15,79,6,2,null,null,null,null,null,null,3528,7,3191,141,189,Tanggal,9/18/2021,1776,417472,235,94.41,90.45,3.96,34.25,0.16,845.09,798.14,864.01,815.62,58.53,20.19,0.09,0.14,2.2,5.43,7.64,46.95,null,null
7303,Sulawesi Selatan,Bantaeng,Kabupaten Bantaeng,4.16,null,169,0,3,0,0,174,172,null,0,0,0,1231,29,1174,28,null,Tanggal,9/15/2021,396,183240,463,97.64,95.37,2.27,15.28,0.28,671.8,655.97,673.43,657.61,39.09,18.13,0.09,0.14,2.68,1.48,4.16,15.83,null,null
7310,Sulawesi Selatan,Barru,Kabupaten Barru,1.19,null,72,0,10,0,1,81,81,null,null,null,null,1608,37,1559,12,null,Tanggal,9/15/2021,1175,171140,146,97.76,96.95,0.8,7.6,0.1,939.58,917.96,945.42,923.81,27.56,21.49,0.06,0.11,0.76,0.43,1.19,21.62,null,null
7311,Sulawesi Selatan,Bone,Kabupaten Bone,0.94,null,322,0,22,0,4,340,340,null,null,null,null,2431,142,2271,18,null,Tanggal,9/15/2021,4559,742527,163,94.32,93.42,0.9,2.96,0.28,327.4,308.27,330.36,311.23,17.21,12.47,0.02,0.03,-0.06,1.01,0.94,19.12,null,null
7302,Sulawesi Selatan,Bulukumba,Kabupaten Bulukumba,4.52,null,374,17,54,5,7,437,403,null,null,null,null,1951,18,1880,53,null,Tanggal,9/15/2021,1155,410241,355,99.35,96.36,2.99,14.63,0.44,475.57,471.19,488.74,483.13,38.24,15.54,0.06,0.09,2.19,2.33,4.52,4.39,null,null
7316,Sulawesi Selatan,Enrekang,Kabupaten Enrekang,6.64,null,283,11,23,0,2,342,308,null,null,null,null,770,59,669,42,null,Tanggal,9/15/2021,1786,199867,112,92.43,86.88,5.55,22.01,0.84,385.26,355.74,396.76,367.24,46.92,13.55,0.1,0.17,2.2,4.44,6.64,29.52,null,null
7306,Sulawesi Selatan,Gowa,Kabupaten Gowa,4.08,null,564,3,324,38,26,869,823,null,null,null,null,8530,141,8269,120,null,Tanggal,9/15/2021,1883,721623,383,98.59,96.94,1.65,20.23,0.21,1182.06,1162.52,1226.96,1202.15,44.98,24.52,0.05,0.08,0.79,3.28,4.08,19.54,null,null
7304,Sulawesi Selatan,Jeneponto,Kabupaten Jeneponto,4.52,null,529,1,38,3,2,566,561,null,null,null,null,2292,99,2137,56,null,Tanggal,9/15/2021,750,355446,474,95.73,93.24,2.49,16.32,0.49,644.82,616.97,655.51,626.82,40.39,17.7,0.06,0.11,2.73,1.78,4.52,27.85,null,null
7301,Sulawesi Selatan,Kepulauan Selayar,Kabupaten Kepulauan Selayar,7.34,null,84,1,7,1,3,88,86,null,null,null,null,1223,58,1124,41,null,Tanggal,9/15/2021,904,130077,144,95.48,91.91,3.58,33.83,0.15,940.21,895.62,945.59,900.24,58.16,21.22,0.15,0.25,0.96,6.38,7.34,44.59,null,null
7317,Sulawesi Selatan,Luwu,Kabupaten Luwu,0.94,null,239,0,3,0,0,242,242,null,null,null,null,1278,98,1169,11,null,Tanggal,9/15/2021,3000,349991,117,92.33,91.47,0.86,3.14,0.38,365.15,337.15,366.01,338.01,17.73,13,0.03,0.05,-0.35,1.28,0.94,28,null,null
7325,Sulawesi Selatan,Luwu Timur,Kabupaten Luwu Timur,2.01,1313,566,10,87,1,6,527,525,null,null,null,null,4739,234,4469,36,null,Tanggal,9/15/2021,6945,275132,40,95.17,94.3,0.87,15.27,0.25,1722.45,1637.4,1754.07,1668.65,39.07,28.88,0.07,0.12,1.43,0.58,2.01,85.05,null,null
7322,Sulawesi Selatan,Luwu Utara,Kabupaten Luwu Utara,5.81,null,278,0,40,0,0,318,318,null,null,null,null,3329,118,3128,83,null,Tanggal,9/15/2021,7503,302414,40,96.43,93.96,2.46,27.45,0.19,1100.81,1061.79,1114.04,1075.02,52.39,23.18,0.09,0.15,3.11,2.7,5.81,39.02,null,null
7371,Sulawesi Selatan,Makassar,Kota Makassar,9.49,null,2766,171,1442,222,143,4400,3728,null,null,null,null,48484,359,47125,1000,null,Tanggal,9/15/2021,176,1447677,8236,99.49,97.2,2.29,78.95,0.18,3349.09,3324.29,3448.7,3408.56,88.86,41.28,0.07,0.12,1.69,7.8,9.49,24.8,null,null
7308,Sulawesi Selatan,Maros,Kabupaten Maros,3.02,null,275,2,79,11,7,349,334,null,null,null,null,4023,84,3893,46,null,Tanggal,9/15/2021,1619,338917,209,98.06,96.77,1.29,15.64,0.17,1187.02,1162.23,1210.33,1182.3,39.54,24.31,0.06,0.11,0.29,2.74,3.02,24.78,null,null
7373,Sulawesi Selatan,Palopo,Kota Palopo,7.43,null,179,9,14,0,1,192,183,null,null,null,null,2778,65,2641,72,null,Tanggal,9/15/2021,248,168452,681,97.68,95.07,2.61,43.34,0.14,1649.13,1610.55,1657.45,1618.86,65.83,28.45,0.15,0.25,3.3,4.12,7.43,38.59,null,null
7309,Sulawesi Selatan,Pangkajene Dan Kepulauan,Kabupaten Pangkajene Dan Kepulauan,7.26,null,140,1,68,22,1,240,185,null,null,null,null,2792,107,2581,104,null,Tanggal,9/15/2021,1236,323304,262,96.11,92.44,3.67,32.48,0.16,863.58,830.49,884.62,844.72,56.99,20.55,0.1,0.16,3.38,3.88,7.26,33.1,null,null
7372,Sulawesi Selatan,Parepare,Kota Parepare,9.43,null,149,6,111,5,0,277,250,null,null,null,null,2713,109,2518,86,null,Tanggal,9/15/2021,99,138804,1397,95.86,92.81,3.05,61.96,0.2,1954.55,1876.03,2034.52,1952.39,78.71,31.24,0.2,0.33,4.54,4.89,9.43,78.53,null,null
7315,Sulawesi Selatan,Pinrang,Kabupaten Pinrang,6.74,null,568,14,33,5,1,601,591,null,null,null,null,1546,69,1393,84,null,Tanggal,9/15/2021,1962,366583,187,95.49,90.1,5.38,23.19,0.78,421.73,402.91,430.73,410.55,48.15,14.33,0.08,0.13,1.64,5.1,6.74,18.82,null,null
7314,Sulawesi Selatan,Sidenreng Rappang,Kabupaten Sidenreng Rappang,2.1,null,96,7,54,4,3,170,136,null,null,null,null,1573,72,1483,18,null,Tanggal,9/15/2021,1883,289482,154,95.57,94.28,1.29,7.25,0.2,543.38,518.51,562.04,535.78,26.93,16.37,0.05,0.08,0.22,1.88,2.1,24.87,null,null
7307,Sulawesi Selatan,Sinjai,Kabupaten Sinjai,3.76,null,268,3,23,4,1,300,289,null,null,null,null,3699,164,3485,50,null,Tanggal,9/15/2021,820,237966,290,95.58,94.21,1.37,21.43,0.16,1554.42,1485.51,1564.09,1493.49,46.29,27.33,0.09,0.15,2.64,1.12,3.76,68.92,null,null
7312,Sulawesi Selatan,Soppeng,Kabupaten Soppeng,6.13,null,82,3,40,0,1,121,118,null,null,null,null,2356,42,2250,64,null,Tanggal,9/15/2021,1359,226057,166,98.21,95.5,2.71,28.75,0.1,1042.22,1023.64,1059.91,1041.33,53.62,22.82,0.11,0.18,3.43,2.69,6.13,18.58,null,null
7305,Sulawesi Selatan,Takalar,Kabupaten Takalar,4.56,null,75,1,34,0,1,158,108,null,null,null,null,2265,80,2134,51,null,Tanggal,9/15/2021,567,286596,506,96.48,94.22,2.26,18.14,0.12,790.31,762.4,802.17,774.26,42.6,19.68,0.08,0.13,2.12,2.44,4.56,27.91,null,null
7318,Sulawesi Selatan,Tana Toraja,Kabupaten Tana Toraja,0.3,null,249,7,13,3,2,260,256,null,null,null,null,3343,525,2804,14,null,Tanggal,9/15/2021,2054,228778,111,84.35,83.88,0.48,6.99,0.16,1461.24,1231.76,1466.92,1236.13,26.45,24.86,0.05,0.09,0.3,0,0.3,229.48,null,null
7326,Sulawesi Selatan,Toraja Utara,Kabupaten Toraja Utara,0.66,null,178,0,6,1,1,183,182,null,null,null,null,1156,79,1070,7,null,Tanggal,9/15/2021,1151,225362,196,93.25,92.56,0.69,3.55,0.32,512.95,477.9,515.61,480.12,18.84,15.49,0.04,0.06,-1.09,1.75,0.66,35.05,null,null
7313,Sulawesi Selatan,Wajo,Kabupaten Wajo,4.93,null,71,0,25,1,3,96,92,null,null,null,null,1572,52,1464,56,null,Tanggal,9/15/2021,2056,393132,191,96.82,93.13,3.69,15.01,0.12,399.87,386.64,406.22,392.74,38.74,14.01,0.06,0.1,2.33,2.6,4.93,13.23,null,null
7202,Sulawesi Tengah,Banggai,Banggai,12.19,0,63,5,14,4,null,null,null,null,null,null,null,7031,99,6629,303,null,Tanggal,9/18/2021,9573,354010,37,98.58,94.28,4.3,85.59,0.01,1986.1,1958.14,1990.06,1960.96,92.52,31.31,0.15,0.25,5.26,6.93,12.19,27.97,null,null
7201,Sulawesi Tengah,Banggai Kepulauan,Banggai Kepulauan,7.28,28,26,15,0,0,null,null,null,null,null,null,null,944,86,822,36,null,Tanggal,9/18/2021,2615,114876,44,90.89,87.08,3.81,31.34,0.03,821.76,746.89,821.76,746.89,55.98,19.32,0.16,0.26,3.03,4.25,7.28,74.86,null,null
7211,Sulawesi Tengah,Banggai Laut,Banggai Laut,9.18,39,11,0,0,0,null,null,null,null,null,null,null,428,15,385,28,null,Tanggal,9/18/2021,599,69390,116,96.5,89.95,6.54,40.35,0.03,616.8,595.19,616.8,595.19,63.52,17.25,0.23,0.38,4.5,4.68,9.18,21.62,null,null
7207,Sulawesi Tengah,Buol,Buol,7.13,22,116,8,6,0,null,null,null,null,null,null,null,2169,245,1868,56,null,Tanggal,9/18/2021,4044,148756,37,88.7,86.12,2.57,37.65,0.06,1458.09,1293.39,1462.13,1297.43,61.36,25.47,0.15,0.25,3.9,3.23,7.13,164.7,null,null
7205,Sulawesi Tengah,Donggala,Donggala,5.91,186,83,51,11,2,null,null,null,null,null,null,null,1818,198,1557,63,null,Tanggal,9/18/2021,4275,293463,69,89.09,85.64,3.44,21.47,0.05,619.5,552.03,623.25,555.1,46.33,16.66,0.08,0.14,2.56,3.35,5.91,67.47,null,null
7203,Sulawesi Tengah,Morowali,Morowali,8.81,646,54,18,32,1,null,null,null,null,null,null,null,2351,67,2218,66,null,Tanggal,9/18/2021,9584,112959,12,97.11,94.34,2.77,58.43,0.04,2081.29,2021.97,2109.61,2049.42,76.44,32.01,0.22,0.36,2.91,5.91,8.81,59.31,null,null
7212,Sulawesi Tengah,Morowali Utara,Morowali Utara,10.08,344,20,6,35,2,null,null,null,null,null,null,null,2706,140,2483,83,null,Tanggal,9/18/2021,3457,117455,34,94.79,91.76,3.03,70.67,0.02,2303.86,2184.67,2333.66,2212.76,84.06,33.26,0.23,0.39,4.29,5.79,10.08,119.19,null,null
7271,Sulawesi Tengah,Palu,Palu,8.47,481,452,62,45,0,null,null,null,null,null,null,null,9191,152,8817,222,null,Tanggal,9/18/2021,395,367600,931,98.33,95.93,2.4,60.39,0.05,2500.27,2458.92,2512.51,2471.16,77.71,35.15,0.12,0.2,1.52,6.96,8.47,41.35,null,null
7208,Sulawesi Tengah,Parigi Moutong,Parigi Moutong,7.27,143,134,16,10,0,null,null,null,null,null,null,null,4452,213,4085,154,null,Tanggal,9/18/2021,5090,457019,90,95.21,91.76,3.45,33.7,0.03,974.14,927.53,976.33,929.72,58.05,21.56,0.08,0.14,4.23,3.05,7.27,46.61,null,null
7204,Sulawesi Tengah,Poso,Poso,9.71,404,130,56,29,1,null,null,null,null,null,null,null,6453,154,6127,172,null,Tanggal,9/18/2021,7112,235156,33,97.6,94.95,2.65,73.14,0.02,2744.14,2678.65,2756.47,2690.55,85.52,36.68,0.17,0.28,2.56,7.15,9.71,65.49,null,null
7210,Sulawesi Tengah,Sigi,Sigi,8.13,27,284,272,13,0,null,null,null,null,null,null,null,3366,79,3182,105,null,Tanggal,9/18/2021,5196,229196,44,97.64,94.53,3.11,45.81,0.09,1468.61,1434.14,1474.28,1439.82,67.68,26.83,0.13,0.22,3.85,4.28,8.13,34.47,null,null
7209,Sulawesi Tengah,Tojo Una-Una,Tojo Una-Una,10.61,32,109,71,19,2,null,null,null,null,null,null,null,2416,159,2160,97,null,Tanggal,9/18/2021,5721,147337,26,93.39,89.4,3.98,65.84,0.05,1639.78,1531.86,1652.67,1543.4,81.14,27.78,0.2,0.33,6.24,4.36,10.61,107.92,null,null
7206,Sulawesi Tengah,Toli-Toli,Toli-Toli,11.41,70,328,109,18,3,null,null,null,null,null,null,null,2132,65,1927,140,null,Tanggal,9/18/2021,4080,225640,55,96.9,90.38,6.51,62.05,0.16,944.87,916.06,952.85,922.71,78.77,21.48,0.16,0.26,4.41,7,11.41,28.81,null,null
7472,Sulawesi Tenggara,Baubau,Kota Baubau,6.05,2405,null,null,null,null,null,1575,1554,0,0,0,0,2188,122,2017,49,null,Tanggal,9/18/2021,221,154570,699,94.42,92.18,2.24,31.7,0.72,1415.54,1336.61,1415.54,1336.61,56.3,25.85,0.14,0.23,1.07,4.98,6.05,78.93,null,null
7406,Sulawesi Tenggara,Bombana,Bombana,4.57,915,null,null,null,null,null,390,390,0,0,0,0,569,35,513,21,null,Tanggal,9/18/2021,3001,164453,55,93.85,90.16,3.69,12.77,0.69,346,324.71,346,324.71,35.73,12.74,0.08,0.14,1.34,3.23,4.57,21.28,null,null
7401,Sulawesi Tenggara,Buton,Buton,5.59,744,null,null,null,null,null,668,668,0,0,0,0,837,41,753,43,null,Tanggal,9/18/2021,2681,264348,99,95.1,89.96,5.14,16.27,0.8,316.63,301.12,316.63,301.12,40.33,12.27,0.08,0.12,0.95,4.63,5.59,15.51,null,null
7409,Sulawesi Tenggara,Buton Utara,Buton Utara,8.62,91,null,null,null,null,null,92,92,0,0,0,0,145,28,100,17,null,Tanggal,9/18/2021,1865,59714,32,80.69,68.97,11.72,28.47,0.63,242.82,195.93,242.82,195.93,53.36,9.9,0.21,0.35,0.77,7.85,8.62,46.89,null,null
7471,Sulawesi Tenggara,Kendari,Kota Kendari,3.9,1305,null,null,null,null,null,235,235,0,0,0,0,7676,142,7438,96,null,Tanggal,9/18/2021,301,346500,1152,98.15,96.9,1.25,27.71,0.03,2215.3,2174.31,2215.3,2174.31,52.64,32.97,0.08,0.14,-0.15,4.05,3.9,40.98,null,null
7404,Sulawesi Tenggara,Kolaka,Kolaka,4.32,1114,null,null,null,null,null,180,180,0,0,0,0,2003,65,1901,37,null,Tanggal,9/18/2021,3284,186276,57,96.75,94.91,1.85,19.86,0.09,1075.29,1040.39,1075.29,1040.39,44.57,22.81,0.1,0.16,0.61,3.71,4.32,34.89,null,null
